,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,Bound_sulfur_dioxide
0,9.6,0.41,0.37,1.1939224684724346,0.091,2.3978952727983707,0.99786,3.24,0.56,10.5,2.639057329615259
1,9.6,0.32,0.47,0.8754687373538999,0.056,2.302585092994046,0.99695,3.22,0.82,10.3,2.772588722239781
2,7.5,0.31,0.41,1.2237754316221157,0.065,3.5553480614894135,0.99492,3.34,0.85,11.4,3.295836866004329
3,9.4,0.4,0.31,1.1631508098056809,0.09,2.639057329615259,0.9966,3.07,0.63,10.5,3.912023005428146
4,6.4,0.4,0.23,0.9555114450274365,0.066,1.791759469228055,0.9958,3.34,0.56,9.2,2.0794415416798357
5,6.4,0.36,0.21,1.1631508098056809,0.047,3.295836866004329,0.99661,3.47,0.77,9.7,3.1354942159291497
6,7.0,0.975,0.04,1.0986122886681096,0.087,2.5649493574615367,0.99565,3.35,0.6,9.4,4.02535169073515
7,8.4,0.67,0.19,1.1631508098056809,0.093,2.4849066497880004,0.99736,3.2,0.59,9.2,4.174387269895637
8,8.9,0.35,0.4,1.5260563034950494,0.11,2.5649493574615367,0.99549,3.23,0.7,12.0,2.5649493574615367
9,8.6,0.685,0.1,0.9555114450274365,0.092,1.3862943611198906,0.99745,3.31,0.65,9.55,2.302585092994046
10,8.3,0.715,0.15,1.0296194171811583,0.089,2.3978952727983707,0.9968,3.23,0.77,9.5,3.7612001156935624
11,8.1,0.575,0.22,1.1314021114911006,0.077,2.5649493574615367,0.9967,3.29,0.51,9.2,3.9889840465642745
12,5.9,0.55,0.1,1.1631508098056809,0.062,3.6888794541139363,0.99512,3.52,0.76,11.2,2.5649493574615367
13,5.2,0.32,0.25,1.0296194171811583,0.103,2.639057329615259,0.9957,3.38,0.55,9.2,3.6375861597263857
14,7.6,0.31,0.34,1.252762968495368,0.082,3.295836866004329,0.99356,3.22,0.59,12.5,2.302585092994046
15,9.2,0.43,0.52,1.1939224684724346,0.083,2.70805020110221,0.9976,3.35,0.61,11.3,2.302585092994046
16,7.1,0.685,0.35,1.0986122886681096,0.088,2.302585092994046,0.9963,3.28,0.62,9.4,4.430816798843313
17,9.2,0.46,0.23,1.2809338454620645,0.091,2.9444389791664403,0.99922,3.15,0.51,9.4,4.0943445622221
18,8.8,0.59,0.18,1.3609765531356006,0.089,2.5649493574615367,0.99738,3.14,0.54,9.4,4.143134726391533
19,10.4,0.26,0.48,1.0647107369924282,0.066,1.9459101490553132,0.99724,3.33,0.87,10.9,1.6094379124341003
20,10.7,0.35,0.53,1.2809338454620645,0.07,1.791759469228055,0.9972,3.15,0.65,11.0,2.4849066497880004
21,10.2,0.67,0.39,1.0647107369924282,0.054,1.9459101490553132,0.9976,3.17,0.47,10.0,2.4849066497880004
22,6.0,0.31,0.47,1.5260563034950494,0.067,2.9444389791664403,0.99549,3.39,0.66,11.0,3.2188758248682006
23,8.3,0.56,0.22,1.2237754316221157,0.082,2.3978952727983707,0.9983,3.37,0.62,9.5,4.343805421853684
24,6.7,0.16,0.64,1.1314021114911006,0.059,3.2188758248682006,0.99494,3.34,0.71,11.2,3.367295829986474
