,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,density,pH,sulphates,alcohol,Bound_sulfur_dioxide
619,11.3,0.37,0.41,2.3,0.088,6.0,0.9988,3.09,0.8,9.3,10.0
420,9.5,0.56,0.33,2.4,0.089,35.0,0.9972,3.28,0.73,11.8,32.0
1511,7.1,0.69,0.04,2.1,0.068,19.0,0.99712,3.44,0.67,9.8,8.0
1430,7.4,0.41,0.24,1.8,0.066,18.0,0.9956,3.37,0.62,10.4,29.0
717,7.6,0.46,0.11,2.6,0.079,12.0,0.9968,3.21,0.57,10.0,37.0
957,9.5,0.37,0.52,2.0,0.088,12.0,0.99613,3.29,0.58,11.1,39.0
1526,6.8,0.47,0.08,2.2,0.064,18.0,0.99553,3.3,0.65,9.6,20.0
8,7.8,0.58,0.02,2.0,0.073,9.0,0.9968,3.36,0.57,9.5,9.0
1355,6.1,0.32,0.25,1.8,0.086,5.0,0.99464,3.36,0.44,10.1,27.0
362,11.9,0.58,0.66,2.5,0.072,6.0,0.9992,3.05,0.56,10.0,31.0
1336,6.0,0.5,0.0,1.4,0.057,15.0,0.99448,3.36,0.45,9.5,11.0
1447,6.8,0.67,0.0,1.9,0.08,22.0,0.99701,3.4,0.74,9.7,17.0
1052,5.6,0.605,0.05,2.4,0.073,19.0,0.99258,3.56,0.55,12.9,6.0
1585,7.2,0.39,0.44,2.6,0.066,22.0,0.99494,3.3,0.84,11.5,26.0
817,10.8,0.29,0.42,1.6,0.084,19.0,0.99545,3.28,0.73,11.9,8.0
785,9.9,0.35,0.41,2.3,0.083,11.0,0.9982,3.21,0.5,9.5,50.0
443,10.0,0.44,0.49,2.7,0.077,11.0,0.9963,3.23,0.63,11.6,8.0
1240,7.5,0.61,0.2,1.7,0.076,36.0,0.99494,3.1,0.4,9.3,24.0
378,11.4,0.625,0.66,6.2,0.088,6.0,0.9988,3.11,0.99,13.3,18.0
274,7.5,0.65,0.18,7.0,0.088,27.0,0.99915,3.38,0.77,9.4,67.0
989,9.7,0.295,0.4,1.5,0.073,14.0,0.99556,3.14,0.51,10.9,7.0
1226,7.5,0.58,0.03,4.1,0.08,27.0,0.99592,3.02,0.47,9.2,19.0
1124,6.5,0.58,0.0,2.2,0.096,3.0,0.99557,3.62,0.62,11.5,10.0
374,14.0,0.41,0.63,3.8,0.089,6.0,1.0014,3.01,0.81,10.8,41.0
1115,7.0,0.69,0.07,2.5,0.091,15.0,0.99572,3.38,0.6,11.3,6.0
556,10.9,0.53,0.49,4.6,0.118,10.0,1.0002,3.07,0.56,11.7,7.0
882,8.4,0.31,0.29,3.1,0.194,14.0,0.99536,3.22,0.78,12.0,12.0
925,8.6,0.22,0.36,1.9,0.064,53.0,0.99604,3.47,0.87,11.0,24.0
1260,8.6,0.635,0.68,1.8,0.403,19.0,0.99632,3.02,1.15,9.3,37.0
1583,6.2,0.46,0.29,2.1,0.074,32.0,0.99578,3.33,0.62,9.8,66.0
765,9.2,0.67,0.1,3.0,0.091,12.0,0.99888,3.31,0.54,9.5,36.0
1516,6.1,0.32,0.25,2.3,0.071,23.0,0.99633,3.42,0.97,10.6,35.0
306,7.6,0.62,0.32,2.2,0.082,7.0,0.9966,3.36,0.52,9.4,47.0
339,12.5,0.28,0.54,2.3,0.082,12.0,0.9997,3.11,1.36,9.8,17.0
454,7.0,0.23,0.4,1.6,0.063,21.0,0.9952,3.5,0.63,11.1,46.0
714,9.9,0.74,0.28,2.6,0.078,21.0,0.998,3.28,0.51,9.8,56.0
745,7.3,0.51,0.18,2.1,0.07,12.0,0.99768,3.52,0.73,9.5,16.0
158,7.1,0.68,0.0,2.2,0.073,12.0,0.9969,3.48,0.5,9.3,10.0
804,8.4,0.52,0.22,2.7,0.084,4.0,0.99682,3.26,0.57,9.9,14.0
89,7.0,0.62,0.08,1.8,0.076,8.0,0.9978,3.48,0.53,9.0,16.0
636,9.6,0.88,0.28,2.4,0.086,30.0,0.9979,3.24,0.53,9.4,117.0
269,11.5,0.18,0.51,4.0,0.104,4.0,0.9996,3.28,0.97,10.1,19.0
553,5.0,1.04,0.24,1.6,0.05,32.0,0.9934,3.74,0.62,11.5,64.0
834,8.8,0.685,0.26,1.6,0.088,16.0,0.99694,3.32,0.47,9.4,7.0
865,7.2,0.635,0.07,2.6,0.077,16.0,0.99748,3.51,0.54,9.7,70.0
761,9.3,0.655,0.26,2.0,0.096,5.0,0.99738,3.25,0.42,9.6,30.0
590,9.0,0.45,0.49,2.6,0.084,21.0,0.9987,3.35,0.57,9.7,54.0
32,8.3,0.655,0.12,2.3,0.083,15.0,0.9966,3.17,0.66,9.8,98.0
704,9.1,0.765,0.04,1.6,0.078,4.0,0.998,3.29,0.54,9.7,10.0
1503,6.2,0.44,0.39,2.5,0.077,6.0,0.99555,3.51,0.69,11.0,8.0
813,6.9,0.39,0.24,2.1,0.102,4.0,0.99462,3.44,0.58,11.4,3.0
44,6.8,0.67,0.02,1.8,0.05,5.0,0.9962,3.48,0.52,9.5,6.0
207,7.8,0.57,0.31,1.8,0.069,26.0,0.99625,3.29,0.53,9.3,94.0
182,7.2,0.73,0.02,2.5,0.076,16.0,0.9972,3.44,0.52,9.3,26.0
237,7.2,0.645,0.0,1.9,0.097,15.0,0.99675,3.37,0.58,9.2,24.0
959,8.0,0.59,0.05,2.0,0.089,12.0,0.99735,3.36,0.61,10.0,20.0
148,6.9,0.49,0.1,2.3,0.074,12.0,0.9959,3.42,0.58,10.2,18.0
546,7.5,0.55,0.24,2.0,0.078,10.0,0.9983,3.45,0.78,9.5,18.0
513,10.5,0.51,0.64,2.4,0.107,6.0,0.9973,3.09,0.66,11.8,9.0
1298,5.7,0.6,0.0,1.4,0.063,11.0,0.99191,3.45,0.56,12.2,7.0
128,8.0,0.59,0.16,1.8,0.065,3.0,0.9962,3.42,0.92,10.5,13.0
1331,7.8,0.87,0.26,3.8,0.107,31.0,0.99668,3.26,0.46,9.2,36.0
491,9.2,0.41,0.5,2.5,0.055,12.0,0.9952,3.34,0.79,13.3,13.0
