fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,m_sulfur_dioxide
6.2,0.21,0.27,0.9932517730102834,0.038,5.017279836814924,0.9933,3.49,0.71,10.5,9.131403118040089
6.0,0.42,0.41,2.5952547069568657,0.032,5.19295685089021,0.99622,3.14,0.6,9.7,12.077294685990337
6.3,0.22,0.34,1.791759469228055,0.032,4.543294782270004,0.99012,3.27,0.36,13.5,8.430913348946136
7.2,0.2,0.3,1.0986122886681096,0.039,5.241747015059643,0.9911,3.3,0.41,12.0,10.0
8.0,0.26,0.28,2.2192034840549946,0.038,5.313205979041787,0.99566,3.12,0.56,10.0,17.475728155339805
6.6,0.34,0.27,1.9740810260220096,0.059,4.919980925828125,0.9957,3.3,0.49,10.1,5.348837209302326
7.7,0.25,0.43,1.7047480922384253,0.062,4.7535901911063645,0.9966,3.38,0.5,9.9,4.566210045662101
7.8,0.27,0.33,1.2237754316221157,0.053,5.170483995038151,0.992,3.2,0.55,11.0,8.571428571428571
6.9,0.29,0.41,2.174751721484161,0.046,5.147494476813453,0.99537,3.12,0.51,9.6,12.62135922330097
6.6,0.26,0.25,2.533696813957432,0.045,5.187385805840755,0.99691,3.33,0.43,9.8,10.392609699769054
6.6,0.36,0.29,0.9555114450274365,0.021,4.454347296253507,0.98965,3.41,0.61,12.4,5.442176870748299
6.9,0.27,0.41,0.9932517730102834,0.047,4.90527477843843,0.9929,3.15,0.69,11.4,1.4457831325301203
7.2,0.24,0.34,0.7419373447293773,0.045,4.174387269895637,0.9913,3.23,0.51,11.4,0.7092198581560283
7.6,0.27,0.29,1.252762968495368,0.059,4.7535901911063645,0.99328,3.09,0.37,9.8,9.046454767726162
8.0,0.27,0.57,2.4336133554004498,0.053,4.90527477843843,0.99732,3.12,0.68,9.0,4.368932038834951
7.4,0.22,0.26,0.7884573603642702,0.035,4.584967478670572,0.99245,3.12,0.41,9.7,4.368932038834951
6.5,0.19,0.34,0.9555114450274365,0.029,4.762173934797756,0.98954,3.21,0.68,12.5,9.263657957244655
5.1,0.26,0.34,2.0014800002101243,0.034,4.605170185988092,0.99449,3.23,0.41,9.2,6.146572104018912
8.6,0.17,0.28,1.308332819650179,0.047,5.017279836814924,0.99365,3.1,0.56,10.8,9.26829268292683
6.0,0.17,0.3,2.1162555148025524,0.039,4.653960350157523,0.99252,2.91,0.57,11.0,9.974424552429667
