,quality
0,5
1,7
2,6
3,6
4,5
5,6
6,4
7,4
8,7
9,6
10,5
11,5
12,6
13,5
14,7
15,6
16,5
17,5
18,5
19,6
20,8
21,5
22,6
23,5
24,6
25,6
26,6
27,5
28,6
29,5
30,6
31,6
32,6
33,5
34,4
35,5
36,5
37,5
38,5
39,5
40,6
41,5
42,7
43,8
44,5
45,5
46,5
47,7
48,6
49,5
50,6
51,7
52,5
53,5
54,7
55,6
56,5
57,6
58,6
59,5
60,5
61,5
62,5
63,7
64,5
65,5
66,7
67,7
68,6
69,7
70,5
71,5
72,5
73,5
74,5
75,5
76,6
77,6
78,5
79,6
80,5
81,5
82,6
83,6
84,5
85,5
86,5
87,6
88,6
89,5
90,5
91,5
92,5
93,5
94,4
95,6
96,5
97,5
98,5
99,6
100,5
101,5
102,7
103,5
104,6
105,5
106,6
107,6
108,6
109,5
110,5
111,6
112,5
113,5
114,6
115,6
116,5
117,6
118,6
119,7
120,5
121,6
122,5
123,6
124,6
125,5
126,5
127,6
128,4
129,5
130,7
131,5
132,5
133,6
134,5
135,7
136,5
137,5
138,5
139,5
140,4
141,5
142,5
143,7
144,6
145,5
146,6
147,6
148,6
149,5
150,6
151,6
152,6
153,5
154,5
155,6
156,6
157,5
158,5
159,5
160,5
161,6
162,5
163,7
164,5
165,6
166,6
167,7
168,6
169,7
170,5
171,6
172,6
173,5
174,4
175,6
176,6
177,6
178,5
179,6
180,5
181,6
182,5
183,6
184,5
185,6
186,6
187,7
188,6
189,7
190,6
191,5
192,7
193,5
194,5
195,5
196,5
197,6
198,6
199,5
200,5
201,6
202,7
203,6
204,5
205,6
206,6
207,6
208,5
209,6
210,6
211,5
212,7
213,6
214,5
215,7
216,8
217,6
218,6
219,6
220,5
221,6
222,5
223,7
224,7
225,4
226,5
227,6
228,6
229,7
230,5
231,6
232,5
233,7
234,6
235,6
236,6
237,6
238,5
239,6
240,5
241,6
242,6
243,6
244,5
245,6
246,6
247,7
248,4
249,6
250,6
251,5
252,5
253,6
254,5
255,6
256,7
257,6
258,5
259,5
260,5
261,6
262,5
263,5
264,4
265,7
266,5
267,6
268,6
269,5
270,6
271,6
272,6
273,5
274,5
275,6
276,6
277,6
278,6
279,6
280,5
281,6
282,5
283,6
284,5
285,5
286,5
287,5
288,4
289,6
290,7
291,7
292,5
293,7
294,5
295,6
296,5
297,5
298,5
299,5
300,5
301,6
302,6
303,5
304,5
305,6
306,5
307,6
308,5
309,6
310,5
311,5
312,5
313,5
314,5
315,5
316,5
317,6
318,6
319,7
320,4
321,6
322,6
323,3
324,5
325,7
326,5
327,5
328,6
329,6
330,6
331,6
332,5
333,5
334,6
335,7
336,6
337,6
338,6
339,6
340,6
341,7
342,5
343,5
344,5
345,6
346,5
347,5
348,5
349,5
350,6
351,5
352,5
